Id	Name	Approximate Date Created	Commentary
amy_rat_rancher	Amy, Rat Rancher	2026/05/26	Ratting
grace_kelly_glamorous_star	Grace Kelly, Glamorous Star	2026/05/25	Rear Window is pretty good
lightningplate_equipment	Lightningplate	2026/05/25
grace_kelly_glamorous_star_back_preproduction	Preproduction	2026/05/25
streetslicer_blades	Streetslicer Blades	2026/05/25	Roller blades 🐱‍🐉 or roller skates 🐱‍💻?
mirrorsuit_equipment	Mirrorsuit	2026/05/25
crow_greaves	Crow Greaves	2026/05/25	Bird shoes
launder	Launder	2026/05/23
file	File	2026/05/23	Is it April fifteenth again?
subsidize_squirrels	Subsidize Squirrels	2026/05/20
bill_and_ted	Bill and Ted	2026/05/20	Excellent!
leslie_deputy_director	Leslie, Deputy Director	2026/05/20
atmosphere_skimmer	Atmosphere Skimmer	2026/05/20
sleeper_monument	Sleeper Monument	2026/05/17
prius_vehicle	Prius	2026/05/14	Works well with Vegan cost reducers like Community Garden and Faux Chicken Store.
lady_liberty_reforged	Lady Liberty, Reforged	2026/05/17	The replacement parts were sourced from IKEA (it's true).
heist_the_louvre	Heist the Louvre	2026/05/17	They'll be back (they just left for breakfast)
go_to_ihop	Go To IHop Or Go To Subwawy	2026/05/17
five_guys	Five Guys	2026/05/14
build_a_blockade	Build a Blockade	2026/05/14	Catan in real life
break_into_a_windows_users_house	Break Into a Windows User's House	2026/05/14	Not based on true events                        yet
the_liaison	The Liaison	2026/05/14
tempt_the_merchants	Tempt the Merchants	2026/05/14
mariah_faithful	Mariah, Faithful Edition	2026/05/14
yosemite_falls	Yosemite Falls	2026/05/14	National Parks are really beautiful, we should protect them at all costs.
vending_machine	Vending Machine	2025/05/16	Vaccine vending machine that also sells croissants
unplanned_hike	Unplanned Hike	2024/07/28
trailhead	Trailhead	2024/07/28
the_guide_nialls_invention	The Guide, Niall's Invention	2024/07/28
road_trip_to_yosemite_back_yosemite_national_park	Yosemite National Park	2024/07/28
road_trip_to_yosemite	Road Trip To Yosemite	2024/07/28
park_ranger	Park Ranger	2024/07/28
nialls_jeep	Niall's Jeep	2024/07/28
niall_relentless_ranger	Niall, Relentless Ranger	2025/08/07
niall_enthused_explorer	Niall, Enthused Explorer	2024/07/28
nevasca_glacial	Nevasca Glacial	2024/07/28
nayeon_world_traveler	Nayeon, World Traveler	2024/07/28	I also tried playing with the banding one LOL
nayeon_frontier_forager	Nayeon, Frontier Forager	2025/08/07	Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.) btw
hike_the_beaten_path	Hike the Beaten Path	2024/07/28
half_dome	Half Dome	2024/07/28
group_hike	Group Hike	2026/05/14
date_at_henry_cowell_national_park_back_henry_cowell_national_park	Henry Cowell National Park	2026/05/14
date_at_henry_cowell_national_park	Date at Henry Cowell National Park	2026/05/14
cinder_cone	Cinder Cone	2024/07/28
campground	Campground	2024/07/28	"""Who's this Marit person? They reserved ten campgrounds at once."""
becca_whisker_whisperer	Becca, Whisker Whisperer	2025/05/20
